McFarlane figures (2020–present),,,
,,,
Standard figures,,,
Q1 2020,Batman,"Batarang, grappling pistol, display stand and Jim Lee art card",Detective Comics #1000 version
Q1 2020,Superman,"Alternate hands, flight stand and Jim Lee, Scott Williams, and Alex Sinclair art card",Action Comics #1000 version
Q1 2020,Batman,"Grappling pistol, batarang alternate hands, display stand and Bruce Timm art card",Batman: The Animated Series version
Q1 2020,Superman,"Crushed steel beam, alternate hands, display stand and Bruce Timm art card",Superman: The Animated Series version
Q1 2020,Green Lantern (John Stewart),"Energy construct gun, headset, display stand and Bruce Timm art card",Justice League Unlimited version
Q1 2020,Harley Quinn,"Mallet, flag pistol, display stand and Terry Dodson art card",DC Classic version
Q1 2020,Green Arrow,"Bow, arrows, quiver, display stand and Stephen Amell photo card",Arrow version
Q1 2020,Batman,Display stand and Patrick Gleason art card,Hellbat armor version
Q1 2020,Superman,"Display stand and Jim Lee, Scott Williams, and Alex Sinclair art card",Superman Unchained armor version
Q2 2020,Wonder Woman,"Lasso of Truth, wound up lasso, display stand and Gal Gadot photo card",Wonder Woman 1984 version
Q2 2020,Wonder Woman,Flight stand and Gal Gadot photo card,Wonder Woman 1984 armored version
Q2 2020,The Joker,"Pistol, alternate head, display stand and Sean Gordon Murphy art card",Batman: White Knight version
Q2 2020,Batman,"Grappling pistol, rope line, alternate hand, wound up cable, display stand and Sean Gordon Murphy art card",Batman: White Knight version
Q2 2020,Azrael,"Flame effect, sword, display stand and Sean Gordon Murphy art card",Batman: Curse of the White Knight version
Q2 2020,The Joker,"Pistol, 2 wind-up chattering teeth, display stand and CGI art card",Batman: Arkham Asylum version
Q2 2020,The Joker,"Pistol, 2 wind-up chattering teeth, display stand and foil CGI art card",Bronze variant (Chase - Platinum Edition)
Q2 2020,Batman,"Grappling gun, batarang, folded batarang, grenade, display stand and CGI art card",Batman: Arkham Asylum version
Q2 2020,Batman,"Grappling gun, batarang, folded batarang, grenade, display stand and foil CGI art card",Bronze variant (Chase - Platinum Edition)
Fall 2020,The Flash (Barry Allen),"6 lightning effect pieces, display stand and Karl Kerschl art card",DC Rebirth version
Fall 2020,Cyborg,"Alternate sonic cannon arm, display stand and Glen Murakami art card",Teen Titans version
Fall 2020,Azrael Batman Armor,"Sword, display stand and Sean Gordon Murphy art card",Batman: Curse of the White Knight version
Fall 2020,The Joker,"Pistol, crowbar, display stand and Jim Lee art card",DC Rebirth version
Fall 2020,Batman,"Batarang, grappling gun, explosive gel gun, display stand and CGI art card",Batman: Arkham Knight version
Fall 2020,Batman,"Batarang, grappling gun, explosive gel gun, display stand and foil CGI art card",Gold variant (Chase - Platinum Edition)
Fall 2020,Deathstroke,"Katana, display stand and CGI art card",Batman: Arkham Origins version
Fall 2020,Deathstroke,"Katana, display stand and foil CGI art card",Gold variant (Chase - Platinum Edition)
Fall 2020,The Dawnbreaker (Earth -32 Batman),"Bat energy construct, flight stand and Jason Fabok art card",Dark Nights: Metal version
Fall 2020,The Devastator (Earth -1 Batman),Display stand and Jason Fabok art card,Dark Nights: Metal version
Fall 2020,The Murder Machine (Earth -44 Batman),"Tentacles, display stand and Riccardo Federici art card",Dark Nights: Metal version
Q1 2021,Robin (Damian Wayne),"Sword, 2 throwing glaives, display stand and Jonboy Meyers art card",DC Rebirth version
Q1 2021,Robin (Damian Wayne),"Sword, 2 throwing glaives, display stand and Jonboy Meyers art card",DC Rebirth version Black Suit variant
Q1 2021,Superman,"Alternate hands, flight stand and Dave Johnson art card",Superman: Red Son version Redeco of the Jim Lee Superman with alternate head
Q1 2021,The Drowned (Earth -11 Batwoman),"Trident, display stand and Jason Fabok art card",Dark Nights: Metal version
Q1 2021,Batman,"Scythe, display stand and David Finch art card",Dark Nights: Death Metal version
Q1 2021,Gorilla Grodd,Photo card and display stand,Injustice 2 version
Q1 2021,Gorilla Grodd,Photo card and display stand,Injustice 2 Platinum variant (Chase - Platinum Edition)
Q1 2021,The Flash (Barry Allen),"3 Speed Force effect pieces, photo card and display stand",Injustice 2 version
Q1 2021,The Flash (Barry Allen),"3 Speed Force effect pieces, photo card and display stand",Injustice 2 Hot Pursuit variant
Q1 2021,Batman (Thomas Wayne),Sword and two pistols.,Flashpoint unmasked version Retool of the Target exclusive Thomas Wayne figure with a new head
Q1 2021,Green Lantern (John Stewart),"Energy construct minigun, chest armor and backpack, display stand and Jim Lee art card",DC Rebirth version
Q1 2021,Bizarro,"Alternate hands, display stand and Patrick Gleason art card",DC Rebirth version
Q1 2021,Nightwing,"Eskrima sticks, display stand and Eddy Barrows art card",Death of the Family Jokerized version Retool of the DC Rebirth Nightwing figure with a new head
Q1 2021,Batman,"Batarang, 2 swords, display stand and Todd McFarlane art card",Original design by Todd McFarlane Blue and gray variant
Q3 2021,Superman,Flight stand and Henry Cavill photo card,''Zack Snyder's Justice League'' black suit version
Q3 2021,Batman,"Batarang, display stand and Ben Affleck photo card",''Zack Snyder's Justice League'' tactical suit version
